S_no,Country,City,Country (c),City (Repeat),City to country name,Images_link,Wordpress_id,Reference_image(Country),Reference_image_india
254,,,Germany,Noida,Noida to Germany,,,,
255,,,Germany,Okhla,Okhla to Germany,,,,
256,,,Germany,Panipat,Panipat to Germany,,,,
257,,,Germany,Paradip,Paradip to Germany,,,,
258,,,Germany,Patiala,Patiala to Germany,,,,
259,,,Germany,Pune,Pune to Germany,,,,
260,,,Germany,Rajkot,Rajkot to Germany,,,,
261,,,Germany,Rourkela,Rourkela to Germany,,,,
262,,,Germany,Siliguri,Siliguri to Germany,,,,
263,,,Germany,Sonipat,Sonipat to Germany,,,,
264,,,Germany,Surat,Surat to Germany,,,,
265,,,Germany,Tirupati,Tirupati to Germany,,,,
266,,,Germany,Tiruppur,Tiruppur to Germany,,,,
267,,,Germany,Udaipur,Udaipur to Germany,,,,
268,,,Germany,Vadodara,Vadodara to Germany,,,,
269,,,Germany,Varanasi,Varanasi to Germany,,,,
270,,,Germany,Vijayawada,Vijayawada to Germany,,,,
271,,,Germany,Visakhapatnam,Visakhapatnam to Germany,,,,
272,,,Germany,Warangal,Warangal to Germany,,,,
273,,,UK,Agra,Agra to UK,,,,
274,,,UK,Ahmedabad,Ahmedabad to UK,,,,
275,,,UK,Amritsar,Amritsar to UK,,,,
276,,,UK,Aurangabad,Aurangabad to UK,,,,
277,,,UK,Bawana Industrial Area,Bawana Industrial Area to UK,,,,
278,,,UK,Belagavi,Belagavi to UK,,,,
279,,,UK,Bengaluru,Bengaluru to UK,,,,
280,,,UK,Bhilwara,Bhilwara to UK,,,,
281,,,UK,Bhopal,Bhopal to UK,,,,
282,,,UK,Bhubaneswar,Bhubaneswar to UK,,,,
283,,,UK,Chennai,Chennai to UK,,,,
284,,,UK,Coimbatore,Coimbatore to UK,,,,
285,,,UK,Cuttack,Cuttack to UK,,,,
286,,,UK,Dewas,Dewas to UK,,,,
287,,,UK,Dharwad,Dharwad to UK,,,,
288,,,UK,Durgapur,Durgapur to UK,,,,
289,,,UK,Erode,Erode to UK,,,,
290,,,UK,Faridabad,Faridabad to UK,,,,
291,,,UK,Gandhidham,Gandhidham to UK,,,,
292,,,UK,Gurugram,Gurugram to UK,,,,
293,,,UK,Guntur,Guntur to UK,,,,
294,,,UK,Gwalior,Gwalior to UK,,,,
295,,,UK,Howrah,Howrah to UK,,,,
296,,,UK,Hubballi,Hubballi to UK,,,,
297,,,UK,Hyderabad,Hyderabad to UK,,,,
298,,,UK,Indore,Indore to UK,,,,
299,,,UK,Jabalpur,Jabalpur to UK,,,,
300,,,UK,Jaipur,Jaipur to UK,,,,
301,,,UK,Jalandhar,Jalandhar to UK,,,,
302,,,UK,Jodhpur,Jodhpur to UK,,,,
303,,,UK,Kakinada,Kakinada to UK,,,,
304,,,UK,Kanpur,Kanpur to UK,,,,
305,,,UK,Karimnagar,Karimnagar to UK,,,,
306,,,UK,Karnal,Karnal to UK,,,,
307,,,UK,Kolkata,Kolkata to UK,,,,
308,,,UK,Kota,Kota to UK,,,,
309,,,UK,Ludhiana,Ludhiana to UK,,,,
310,,,UK,Madurai,Madurai to UK,,,,
311,,,UK,Mangaluru,Mangaluru to UK,,,,
312,,,UK,Mohali,Mohali to UK,,,,
313,,,UK,Moradabad,Moradabad to UK,,,,
314,,,UK,Mumbai,Mumbai to UK,,,,
315,,,UK,Mundra,Mundra to UK,,,,
316,,,UK,Mysuru,Mysuru to UK,,,,
317,,,UK,Nagpur,Nagpur to UK,,,,
318,,,UK,Naraina,Naraina to UK,,,,
319,,,UK,Nashik,Nashik to UK,,,,
