S_no,Country,City,City to country name
307,UK,,Kolkata to UK
308,UK,,Kota to UK
309,UK,,Ludhiana to UK
310,UK,,Madurai to UK
311,UK,,Mangaluru to UK
312,UK,,Mohali to UK
313,UK,,Moradabad to UK
314,UK,,Mumbai to UK
315,UK,,Mundra to UK
316,UK,,Mysuru to UK
317,UK,,Nagpur to UK
318,UK,,Naraina to UK
319,UK,,Nashik to UK
320,UK,,New Delhi to UK
321,UK,,Nizamabad to UK
322,UK,,Noida to UK
323,UK,,Okhla to UK
324,UK,,Panipat to UK
325,UK,,Paradip to UK
326,UK,,Patiala to UK
327,UK,,Pune to UK
328,UK,,Rajkot to UK
329,UK,,Rourkela to UK
330,UK,,Siliguri to UK
331,UK,,Sonipat to UK
332,UK,,Surat to UK
333,UK,,Tirupati to UK
334,UK,,Tiruppur to UK
335,UK,,Udaipur to UK
336,UK,,Vadodara to UK
337,UK,,Varanasi to UK
338,UK,,Vijayawada to UK
339,UK,,Visakhapatnam to UK
340,UK,,Warangal to UK
341,Canada,,Agra to Canada
342,Canada,,Ahmedabad to Canada
343,Canada,,Amritsar to Canada
344,Canada,,Aurangabad to Canada
345,Canada,,Bawana Industrial Area to Canada
346,Canada,,Belagavi to Canada
347,Canada,,Bengaluru to Canada
348,Canada,,Bhilwara to Canada
349,Canada,,Bhopal to Canada
350,Canada,,Bhubaneswar to Canada
351,Canada,,Chennai to Canada
352,Canada,,Coimbatore to Canada
353,Canada,,Cuttack to Canada
354,Canada,,Dewas to Canada
355,Canada,,Dharwad to Canada
356,Canada,,Durgapur to Canada
357,Canada,,Erode to Canada
358,Canada,,Faridabad to Canada
359,Canada,,Gandhidham to Canada
360,Canada,,Gurugram to Canada
361,Canada,,Guntur to Canada
362,Canada,,Gwalior to Canada
363,Canada,,Howrah to Canada
364,Canada,,Hubballi to Canada
365,Canada,,Hyderabad to Canada
366,Canada,,Indore to Canada
367,Canada,,Jabalpur to Canada
368,Canada,,Jaipur to Canada
369,Canada,,Jalandhar to Canada
370,Canada,,Jodhpur to Canada
371,Canada,,Kakinada to Canada
372,Canada,,Kanpur to Canada
373,Canada,,Karimnagar to Canada
374,Canada,,Karnal to Canada
375,Canada,,Kolkata to Canada
376,Canada,,Kota to Canada
377,Canada,,Ludhiana to Canada
378,Canada,,Madurai to Canada
379,Canada,,Mangaluru to Canada
380,Canada,,Mohali to Canada
381,Canada,,Moradabad to Canada
382,Canada,,Mumbai to Canada
383,Canada,,Mundra to Canada
384,Canada,,Mysuru to Canada
